grassType,AGB_BGB_0_10,NIRveos,spNum,shannon_mean,simpson_dominance_mean,evenness_mean
Mountain meadows,5.589473684,292.4629211,10,1.765057252,0.175,0.99
Temperate steppe,18.4849,266.6695862,11,1.810072136,0.327255443,0.98
Desert steppe,0.995835616,285.9611816,3,0.287899809,0.844834568,0.42
Lowland meadows,3.606612544,265.5400391,7,1.485446735,0.41351185,0.97
Temperate meadow steppe,4.57854949,276.993103,12,1.891852395,0.295833333,0.97
Lowland meadows,11.76390675,278.174469,6,1.147815876,0.324895833,0.97
Lowland meadows,25.37181864,250.3717346,14,2.019122865,0.504166667,0.96
Mountain meadows,6.147100592,265.664856,13,2.131346996,0.146936191,0.96
Mountain meadows,7.227745098,267.1135254,9,1.544479521,0.225,0.96
Mountain meadows,19.62955094,276.7633667,10,1.544479521,0.225,0.96
Temperate steppe,16.70653852,279.3267212,6,1.335085165,0.275,0.96
Lowland meadows,3.360259193,268.3161011,6,1.388723139,0.261385042,0.95
Temperate meadow steppe,6.736076333,270.5031433,10,1.527222751,0.229831401,0.95
Temperate steppe,1.108460007,278.1547852,5,1.090114533,0.364897959,0.62
Temperate steppe,1.086534651,282.5934753,6,1.312357634,0.3275,0.95
Temperate steppe,5.78014039,267.9540405,7,1.122404855,0.410338837,0.94
Temperate meadow steppe,7.007197421,272.9133606,6,1.11247146,0.340646353,0.94
Temperate steppe,8.245614035,273.55896,16,2.362918324,0.1326961,0.94
Temperate meadow steppe,2.624835301,279.4881287,8,1.443534717,0.57,0.94
Mountain meadows,26.78963124,266.1062317,9,1.80474849,0.18,0.93
Mountain meadows,30.32214473,254.927948,11,2.012692644,0.155,0.92
Temperate steppe,11.31164865,275.275177,9,1.487891588,0.25215613,0.92
Temperate steppe,1.242186855,282.178833,4,0.630770283,0.670361631,0.72
Temperate steppe,7.376112041,268.2293701,12,1.996472765,0.1574,0.91
Temperate meadow steppe,6.365629274,288.8542786,7,1.460205995,0.338864782,0.91
Mountain meadows,6.285724457,263.0243225,13,2.16575531,0.1343,0.9
Desert steppe,5.540443495,263.6888123,6,0.863360354,0.357242036,0.9
Temperate meadow steppe,3.69560962,270.2795715,8,1.374742395,0.282015931,0.9
Lowland meadows,10.04283557,272.1042786,6,1.058476892,0.379440207,0.9
Desert steppe,12.94995279,274.3493958,6,1.07927166,0.427777778,0.9
Temperate meadow steppe,8.484439368,279.8971863,13,1.612709703,0.39273084,0.9
Temperate steppe,3.299484185,280.3585205,7,1.253538444,0.533185596,0.9
Temperate meadow steppe,8.374298535,280.5901184,12,1.503165179,0.4388,0.9
Temperate meadow steppe,5.952346751,262.9976807,7,1.239773964,0.458072484,0.89
Lowland meadows,16.88207547,264.7385559,13,2.083341584,0.355103878,0.89
Temperate steppe,6.848905357,264.9522095,6,1.137803061,0.391604938,0.89
Desert steppe,1.522414073,293.9986572,4,0.545926387,0.39,0.69
Mountain meadows,22.75989446,273.4185486,13,1.814732725,0.190933333,0.89
Temperate meadow steppe,7.323063704,276.1279907,9,1.209224404,0.338412698,0.89
Temperate steppe,11.58409177,278.3302612,12,1.790402908,0.200666667,0.89
Temperate meadow steppe,3.786128513,284.1264343,12,1.637923843,0.386666667,0.89
Desert steppe,21.2428927,302.3745117,9,1.527859926,0.236666938,0.89
Temperate steppe,9.953529862,262.9641724,7,1.281113883,0.357722101,0.88
Temperate steppe,9.404401651,263.7711182,9,1.167761833,0.32755731,0.88
Temperate meadow steppe,9.145996166,267.8687134,7,1.183525452,0.368227041,0.88
Temperate steppe,13.47466626,268.6234741,9,1.34519696,0.292700813,0.88
Temperate steppe,14.29080864,272.0007324,8,1.286068681,0.317898715,0.88
Mountain meadows,9.605525419,272.7831421,7,1.424177914,0.340749351,0.88
Temperate steppe,12.68979025,273.2792969,12,1.71366841,0.220075666,0.88
Desert steppe,1.671669069,282.1030579,4,0.258161821,0.865785124,0.37
Lowland meadows,10.24320988,277.2128296,9,1.475906139,0.295023148,0.88
Temperate meadow steppe,1.68178733,286.7333679,5,0.51403924,0.71721145,0.53
Temperate meadow steppe,4.349017038,279.8887024,9,1.21723545,0.4042,0.88
Temperate meadow steppe,0.638454146,281.4692993,6,1.221796494,0.355493998,0.88
Desert steppe,17.69462048,288.0681152,8,1.468201425,0.298792517,0.88
Temperate steppe,11.35243615,259.1544189,13,1.947339128,0.1594,0.87
Temperate meadow steppe,1.786629283,299.0555725,5,0.341703096,0.837488458,0.35
Mountain meadows,8.286747391,274.9493408,11,1.695742534,0.23,0.87
Temperate steppe,23.98236376,276.3945923,6,0.851344848,0.350441337,0.87
Temperate steppe,8.541921632,296.5386353,6,1.039259967,0.429108796,0.87
Desert steppe,2.610963195,262.789978,6,1.193021124,0.378626701,0.86
Lowland meadows,5.295134877,267.5862122,6,0.942948734,0.424338624,0.86
Mountain meadows,17.26635915,271.2809143,9,1.678197682,0.225,0.86
Mountain meadows,5.025835918,278.6726074,14,2.149308529,0.1476,0.86
Temperate steppe,4.905248265,279.3075256,12,1.748099176,0.207666667,0.86
Lowland meadows,3.554925399,281.4386597,7,1.024454392,0.388098595,0.86
Temperate steppe,1.951035091,268.5401611,5,0.872656965,0.500648901,0.73
Temperate steppe,12.61404699,261.7468567,15,2.113465343,0.1026,0.85
Temperate steppe,6.991138362,264.1256714,8,1.106622371,0.378673095,0.85
Temperate steppe,2.387906469,266.2605591,8,1.326281695,0.706080247,0.85
Temperate steppe,5.968827388,274.2941895,12,1.857403265,0.1952,0.85
Lowland meadows,4.178669703,278.5298157,7,1.184054599,0.345,0.85
Lowland meadows,7.620901332,278.6726074,6,1.093838702,0.433225307,0.85
Temperate steppe,4.442835199,292.6401367,15,1.943385209,0.196533333,0.85
Desert steppe,2.495111013,285.6730652,4,0.211476695,0.89668168,0.31
Temperate steppe,18.82175842,296.4739685,7,1.11161885,0.384908797,0.85
Lowland meadows,15.85406739,266.7287292,6,0.992680457,0.431335034,0.84
Desert steppe,14.84544736,271.7585754,7,0.921768753,0.436763117,0.84
Temperate steppe,7.59322673,274.0006714,8,1.344445653,0.377945248,0.84
Desert steppe,2.382997782,279.1961365,7,0.732840484,0.369601121,0.84
Lowland meadows,6.437794187,295.9862976,8,1.005462226,0.406708053,0.84
Temperate steppe,7.08846245,259.1544189,8,1.340991954,0.423378816,0.83
Lowland meadows,4.281858967,262.7718811,9,1.281685268,0.324487307,0.83
Mountain meadows,11.47140593,266.5501709,15,2.062739096,0.1776,0.83
Lowland meadows,18.0099272,267.107605,11,1.490457286,0.328910342,0.83
Temperate steppe,11.986659,271.2364502,6,0.78827854,0.516088154,0.83
Desert steppe,5.364271457,279.7338562,6,1.153788322,0.379233609,0.83
Temperate steppe,12.81093322,282.136261,7,1.063687241,0.396138505,0.83
Mountain meadows,22.74029148,285.7552795,8,1.152268565,0.322407407,0.83
Temperate meadow steppe,7.201541153,295.8568573,13,1.57697552,0.459166667,0.83
Mountain meadows,7.872864897,268.7209167,9,1.31730168,0.311473267,0.82
Temperate steppe,3.447409733,273.1480103,8,1.32479463,0.720050785,0.82
Desert steppe,10.12096212,274.9992065,11,1.572916153,0.180654175,0.82
Temperate steppe,4.228758468,279.891449,6,1.139138488,0.449826389,0.82
Temperate steppe,3.44838403,300.7684326,6,0.984057969,0.433640837,0.82
Desert steppe,5.954700963,261.8663635,6,1.041660537,0.430633609,0.81
Mountain meadows,3.705849599,276.2815247,12,1.569820984,0.2829,0.81
Temperate steppe,2.627122999,286.0669556,5,0.703287335,0.641806692,0.57
Mountain meadows,7.587348956,259.7523499,14,1.927619869,0.210000427,0.8
Mountain meadows,9.536389518,260.4451904,13,1.669018445,0.2501,0.8
Temperate steppe,4.059389335,272.0525513,6,1.109017843,0.367714464,0.8
Temperate steppe,9.242389299,274.0450134,11,1.726827231,0.173933333,0.8
Temperate steppe,7.940596335,276.8424683,6,0.876029851,0.262107108,0.8
Temperate meadow steppe,4.354965983,278.6460266,7,1.18105504,0.505480324,0.8
Temperate meadow steppe,8.335204568,259.0048218,7,0.974351293,0.466487032,0.79
Mountain meadows,15.15837046,266.4527893,10,1.499365455,0.300277008,0.79
Temperate steppe,5.829847946,274.7540588,7,0.811833673,0.521844318,0.79
Desert steppe,6.502860412,278.2193298,8,1.148300261,0.374044444,0.79
Temperate steppe,6.063753079,290.4252777,6,0.872201094,0.384695371,0.79
Temperate steppe,3.014142642,280.2018433,4,0.442776589,0.75037037,0.55
Mountain meadows,21.05409337,299.2482605,10,1.362750669,0.411332678,0.79
Temperate steppe,2.755459554,307.8469849,7,1.15662333,0.438409495,0.79
Temperate steppe,10.06671165,270.3681946,8,0.851485007,0.447997685,0.78
Lowland meadows,8.381046974,295.8917389,6,1.083404082,0.401254325,0.78
Mountain meadows,11.0964925,304.5577393,7,1.072805557,0.368455463,0.78
Temperate steppe,8.263298043,284.4997559,8,0.915594387,0.442075404,0.77
Mountain meadows,9.523112209,288.8430786,10,0.924652068,0.517845947,0.77
Temperate meadow steppe,12.61493142,258.4306335,6,0.97861089,0.441888273,0.76
Temperate steppe,3.845715444,261.6989746,8,1.109247079,0.408458671,0.76
Temperate steppe,11.49226779,273.3831177,7,1.031126897,0.457288062,0.76
Temperate steppe,3.065402531,275.275177,4,0.35131855,0.782843201,0.51
Mountain meadows,6.593421066,314.2496338,9,1.217096184,0.359256845,0.76
Mountain meadows,18.8344363,272.8623047,10,1.453147666,0.2984,0.75
Temperate steppe,3.431421355,274.4093628,11,1.569869736,0.210466667,0.75
Lowland meadows,6.115093489,274.5994263,7,1.151757687,0.485787165,0.75
Desert steppe,14.12973798,260.8207397,6,0.726277958,0.55013965,0.74
Temperate meadow steppe,5.186342593,262.3203735,12,1.426448403,0.362831948,0.74
Lowland meadows,15.04842581,288.3822327,7,1.078868726,0.683651107,0.74
Temperate meadow steppe,22.11716851,260.1309814,11,1.26867321,0.840833333,0.73
Temperate meadow steppe,5.271014208,261.4938049,7,1.126976235,0.462001794,0.73
Temperate meadow steppe,7.12430056,263.5810852,7,1.120304654,0.557918065,0.73
Temperate steppe,3.147161355,272.4569397,3,0.370422242,0.753333333,0.601609497
Temperate steppe,4.730586203,275.2728271,8,1.036372935,0.642805422,0.73
Desert steppe,15.34736104,277.9594116,7,0.701098628,0.386206126,0.73
Desert steppe,3.223407407,282.1983337,4,0.67426951,0.518518519,0.572765278
Temperate steppe,7.181671121,275.6567383,8,1.055304122,0.462597184,0.72
Mountain meadows,17.59622311,277.9829407,15,1.777983315,0.1973,0.72
Temperate steppe,3.909395456,278.3023376,6,0.998090196,0.459368122,0.72
Desert steppe,3.33218247,276.5870056,3,0.348832096,0.802469136,0.5
Lowland meadows,2.16595134,285.7359009,9,1.096691802,0.589905355,0.72
Temperate meadow steppe,5.751729376,290.4863281,9,1.241654082,0.454044171,0.72
Temperate steppe,15.91177144,293.1540833,6,0.871156302,0.521193756,0.72
Temperate steppe,2.320015812,262.7884521,6,0.908357421,0.552566032,0.71
Temperate steppe,5.299730905,273.7831421,6,0.892144197,0.71244229,0.71
Temperate steppe,4.148497943,276.6286011,9,1.150439831,0.403703099,0.71
Temperate steppe,3.650549283,281.1325989,7,0.783371284,0.548783287,0.71
Temperate steppe,3.353613086,280.5091553,4,0.420322857,0.729502041,0.61
Mountain meadows,4.456085034,290.0596008,8,1.139296159,0.39753339,0.71
Temperate steppe,23.55692964,304.5316772,15,2.254287381,0.1288,0.71
Mountain meadows,24.14519406,252.1203003,12,1.355318446,0.337133333,0.7
Temperate steppe,3.448666263,271.3497925,5,0.833180442,0.539461177,0.69
Lowland meadows,3.143920327,279.7338562,9,0.941840431,0.538174054,0.7
Temperate steppe,3.489947175,283.8577271,5,0.460784555,0.767038759,0.42
Temperate steppe,5.42647397,289.6147156,7,0.913822211,0.561421406,0.7
Temperate steppe,3.568919574,282.3847351,4,0.243263422,0.875092336,0.35
Temperate steppe,8.849490159,280.2226257,8,1.102741279,0.452452338,0.69
Desert steppe,3.702265069,280.9079285,5,0.953928798,0.490208333,0.69
Temperate steppe,3.771274642,277.9846497,5,0.377942172,0.779670098,0.55
Temperate steppe,3.78368637,276.7477417,3,0.2850065,0.847777778,0.41
Temperate steppe,4.06139885,283.7037659,6,0.646145536,0.464734353,0.68
Temperate steppe,3.148932039,274.5520325,6,0.792693747,0.5871875,0.67
Mountain meadows,10.97258178,289.6095886,13,1.481302765,0.3074,0.67
Temperate steppe,0.849243908,322.0223999,7,0.934685676,0.494766573,0.67
Temperate steppe,8.220556152,251.0694427,14,1.510015997,0.393166667,0.66
Temperate steppe,2.977997684,298.4014587,10,1.126009384,0.448037282,0.66
Temperate steppe,0.958451584,302.4354553,7,0.837891519,0.665798611,0.66
Temperate steppe,2.96803503,261.9918823,9,0.989211472,0.58994903,0.65
Temperate steppe,6.556506759,265.3600159,7,0.783440627,0.578356481,0.64
Temperate meadow steppe,14.1840396,267.9310303,6,0.780046221,0.576666667,0.64
Mountain meadows,25.85250048,273.1583862,11,1.268131045,0.455133333,0.64
Temperate steppe,16.81876484,274.4180908,7,0.683193658,0.623018879,0.62
Temperate steppe,8.022510435,280.5911255,7,0.789823778,0.563765246,0.62
Temperate steppe,4.6155093,270.0286255,8,0.8390256,0.575670833,0.61
Temperate steppe,6.502511115,270.7860718,7,0.664777203,0.622511574,0.61
Temperate steppe,4.900726826,272.8748779,6,0.740471621,0.601152263,0.61
Desert steppe,4.425276345,275.8356628,4,0.129740695,0.944489796,0.19
Temperate steppe,6.365651096,298.6071167,9,0.977755112,0.541713949,0.61
Desert steppe,4.792321384,279.9394226,5,1.226359779,0.320066872,0.85
Lowland meadows,14.39510284,272.0007324,6,0.713118812,0.61036216,0.6
Temperate steppe,4.345521757,278.8020935,10,1.073749725,0.4463,0.6
Desert steppe,5.123105003,282.8009644,5,0.367599646,0.78755102,0.53
Temperate steppe,3.622510064,263.7500305,6,0.576712774,0.678630462,0.59
Desert steppe,11.6875,270.0323486,9,0.948027319,0.633925926,0.59
Desert steppe,5.321297668,286.433075,3,0.484488408,0.704648526,0.7
Desert steppe,24.72982552,269.1132202,9,1.012777845,0.590857988,0.57
Temperate steppe,3.285440564,278.134491,6,0.678212133,0.644001946,0.57
Temperate steppe,2.880066672,279.4662781,7,0.552200953,0.693438221,0.57
Temperate steppe,6.162252541,282.592804,5,0.325082973,0.82,0.47
Mountain meadows,16.43594354,260.8035583,14,1.354645493,0.405133333,0.56
Temperate steppe,11.31724678,265.9766541,6,0.535544959,0.707534014,0.56
Temperate steppe,5.313769422,283.7577515,6,0.716322191,0.633049485,0.56
Desert steppe,6.178722815,281.8835144,4,0.675070496,0.600406379,0.68
Desert steppe,7.383962264,288.0811768,5,0.594165429,0.629785185,0.71
Mountain meadows,7.06036284,282.7004089,13,1.145285528,0.529233333,0.55
Mountain meadows,7.443732777,285.4450684,10,0.988383507,0.520553194,0.55
Desert steppe,7.528136025,296.7858276,5,0.361095363,0.821981267,0.39
Mountain meadows,5.819416499,261.0048523,7,0.899226055,0.563956531,0.54
Mountain meadows,8.047404704,268.2598877,5,0.708346578,0.655,0.51
Temperate steppe,3.179327011,286.2036133,6,0.640347095,0.696296296,0.54
Temperate steppe,8.945654694,272.650238,5,0.950608708,0.423542027,0.87
Temperate steppe,3.899563848,272.1799011,7,0.691305391,0.675066667,0.53
Temperate meadow steppe,6.675014563,272.4735413,6,0.708701815,0.761063233,0.53
Temperate steppe,17.28666779,274.0360107,6,0.477308528,0.732693379,0.53
Temperate steppe,0.320738901,278.8642273,7,0.679257794,0.735777932,0.53
Desert steppe,9.7255351,275.3456726,3,0.325082973,0.82,0.47
Desert steppe,10.37669276,282.0922546,5,0.637964255,0.587763605,0.81
Temperate steppe,9.102522454,266.9837952,6,0.535656569,0.876386999,0.51
Temperate steppe,11.79114646,279.282959,5,1.071239121,0.352086796,0.88
Temperate steppe,11.86276866,275.102417,5,0.835323513,0.471318212,0.88
Desert steppe,13.88385327,284.4613037,7,0.559861003,0.700732601,0.51
Temperate steppe,20.79073698,268.7185669,7,0.651610937,0.672961111,0.5
Desert steppe,12.7526569,279.0687256,5,0.678624583,0.644155125,0.7
Temperate steppe,14.29916318,281.3812866,5,0.980103782,0.463523756,0.76
Temperate steppe,14.76929693,261.8358459,7,0.535747665,0.76582833,0.49
Temperate steppe,7.099886105,265.197876,6,0.697959445,0.659442906,0.48
Temperate meadow steppe,19.42598441,273.1800537,6,0.619235747,0.697626962,0.48
Temperate steppe,4.703977999,280.8721619,8,0.466203556,0.795,0.48
Temperate steppe,11.0267433,293.7604675,10,0.835468369,0.683319752,0.48
Temperate steppe,10.21177417,264.3987122,14,1.026248541,0.67652847,0.47
Desert steppe,15.0134579,277.1243591,4,0.376708056,0.012441947,0.54
Temperate steppe,8.44646377,274.0345764,7,0.520273546,0.733891523,0.47
Temperate steppe,15.79623644,293.858429,5,0.937611058,0.435867769,0.85
Desert steppe,15.88230713,292.9536743,4,0.323899834,0.9531,0.5
Temperate steppe,0.578067306,292.1401062,6,0.67932668,0.667559695,0.47
Desert steppe,12.04072687,296.5585938,6,0.458677887,0.754718396,0.47
Lowland meadows,10.77944459,277.0294189,6,0.553319237,0.72652141,0.46
Temperate steppe,5.901937856,280.6516418,8,0.530295025,0.839876543,0.45
Mountain meadows,5.006347821,295.5174561,6,0.624054255,0.674929825,0.45
Mountain meadows,13.34455965,268.943512,11,0.855757623,0.642296584,0.44
Temperate steppe,2.144951246,272.8166351,6,0.494921822,0.752647538,0.44
Temperate steppe,8.312190849,260.4626465,8,0.601218904,0.78066638,0.43
Mountain meadows,4.858762632,268.9577942,11,0.761092586,0.6534,0.42
Temperate steppe,16.54005993,268.6051941,5,0.445760475,0.75198245,0.53
Temperate steppe,16.74151774,273.3868713,5,0.876466268,0.51517276,0.72
Temperate steppe,13.73619599,265.8544617,6,0.342955172,0.769275209,0.41
Desert steppe,16.80259951,286.9917603,4,0.489898084,0.841851852,0.6
Desert steppe,18.0413415,292.9131165,7,0.404593785,0.720696712,0.41
Desert steppe,4.610921872,272.3901672,6,0.619924077,0.779548148,0.39
Temperate steppe,14.85326851,272.890564,8,0.612847345,0.732205556,0.39
Desert steppe,16.85119549,287.3551636,5,0.299028792,0.849910215,0.36
Desert steppe,17.33707477,268.265625,5,0.512049891,0.846666667,0.47
Desert steppe,17.77709017,282.1856689,4,0.629445645,0.591077098,0.68
Temperate steppe,2.926964248,264.0890808,7,0.381348351,0.909567901,0.35
Desert steppe,18.6397908,269.5026855,5,0.15976822,0.978954087,0.74
Temperate steppe,19.0572181,268.1333923,5,0.843524062,0.470185185,0.89
Temperate steppe,4.477044713,269.0187683,6,0.330135918,0.842307564,0.31
Lowland meadows,21.03769602,277.2651062,5,1.127643106,0.351758711,0.88
Temperate steppe,12.03772242,273.4298401,8,0.47585717,0.830424197,0.29
Desert steppe,24.30635235,283.1821594,5,0.804408752,0.404149832,0.86
Mountain meadows,11.73477941,294.0181274,8,0.317193355,0.877491121,0.23
Desert steppe,24.33236693,286.7972717,5,0.519011679,0.708046286,0.55
Temperate steppe,4.560219436,295.7294006,7,0.256758356,0.9037,0.19
Temperate steppe,3.220648148,278.3385315,9,0.274074533,0.903433333,0.17
